City_ID,City_ID,Country,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,192,US,Fortuna,40.5982,-124.1573,47.93,69,0,9.22,few clouds
193,193,CA,Botwood,49.1499,-55.3482,26.08,60,55,11.12,scattered clouds
194,194,CN,Hami,42.8,93.45,22.68,31,39,1.48,overcast clouds
195,195,GA,Port-Gentil,-0.7193,8.7815,78.76,89,75,8.05,scattered clouds
196,196,OM,Salalah,17.0151,54.0924,77.09,44,0,2.3,scattered clouds
197,197,MR,Adrar,20.5022,-10.0711,82.96,13,91,17.6,overcast clouds
198,198,MX,Ixtapa,20.7,-105.2,80.55,27,0,3.67,overcast clouds
199,199,ID,Meulaboh,4.1363,96.1285,78.51,79,99,3.22,light rain
200,200,ZA,Kruisfontein,-34.0033,24.7314,72.88,91,100,5.23,overcast clouds
201,201,NZ,Kaitangata,-46.2817,169.8464,59.23,97,100,8.77,few clouds
202,202,MY,Kuching,1.55,110.3333,79.02,89,20,3.44,scattered clouds
203,203,CA,Goderich,43.7501,-81.7165,32.32,93,100,10.36,light rain
204,204,CN,Helong,42.5397,128.9972,4.28,84,18,6.06,light rain
205,205,IS,Dalvik,65.9702,-18.5286,24.73,81,100,4.79,overcast clouds
206,206,CO,Suarez,2.954,-76.6964,83.44,70,71,2.24,clear sky
207,207,BS,High Rock,26.6208,-78.2833,75.22,56,18,17.63,light rain
208,208,US,Makaha,21.4694,-158.2175,73.65,69,34,4.88,scattered clouds
209,209,SO,Garowe,8.4054,48.4845,77.31,48,15,20.42,scattered clouds
210,210,MG,Sambava,-14.2667,50.1667,78.87,77,98,6.51,few clouds
211,211,NO,Roald,62.5833,6.1333,34.0,80,75,11.5,clear sky
212,212,ZA,East London,-33.0153,27.9116,83.34,78,20,3.44,broken clouds
213,213,AU,Codrington,-38.2667,141.9667,58.5,62,99,12.19,broken clouds
214,214,AU,Mount Isa,-20.7333,139.5,80.37,74,100,5.75,broken clouds
215,215,CD,Businga,3.3333,20.8833,81.45,31,23,3.15,overcast clouds
216,216,AU,Yulara,-25.2406,130.9889,66.04,72,100,10.36,overcast clouds
217,217,ZA,Richards Bay,-28.783,32.0377,79.09,77,23,15.88,few clouds
218,218,US,Kailua,21.4022,-157.7394,73.74,85,20,4.61,scattered clouds
219,219,AU,Broken Hill,-31.95,141.4333,60.51,51,0,17.27,light rain
220,220,NO,Mehamn,71.0357,27.8492,23.18,92,40,9.22,clear sky
221,221,RU,Kurumkan,54.3,110.3,-17.68,93,69,4.03,broken clouds
222,222,JP,Miyako,39.6367,141.9525,30.06,57,16,4.94,scattered clouds
223,223,BD,Barisal,22.7019,90.3711,67.24,80,11,3.76,broken clouds
224,224,MM,Lashio,22.9333,97.75,46.76,80,0,2.13,scattered clouds
225,225,RU,Troitskoye,52.9821,84.6757,4.77,98,100,0.65,few clouds
226,226,CL,Constitucion,-35.3333,-72.4167,67.51,64,3,8.23,scattered clouds
227,227,CN,Botou,38.0667,116.5667,27.84,40,1,3.74,overcast clouds
228,228,NG,Ihiala,5.8538,6.8603,94.82,23,1,4.32,overcast clouds
229,229,ZW,Chiredzi,-21.05,31.6667,84.96,39,5,3.78,overcast clouds
230,230,LT,Rietavas,55.7194,21.9311,23.61,93,77,6.71,scattered clouds
231,231,PE,Hualmay,-11.0964,-77.6139,76.15,69,3,12.39,few clouds
