City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,Yertsevo,60.7966,40.086,12.9,99,98,2.98,RU,2022-02-02 17:27:11
175,Souillac,-20.5167,57.5167,81.36,94,75,34.52,MU,2022-02-02 17:24:00
176,Kota,25.1833,75.8333,68.7,37,0,8.97,IN,2022-02-02 17:27:12
177,Mamallapuram,12.6264,80.1722,79.05,64,5,8.63,IN,2022-02-02 17:27:13
178,Chumikan,54.7183,135.315,-10.1,86,39,12.46,RU,2022-02-02 17:27:13
179,Half Moon Bay,37.4636,-122.4286,57.18,36,0,5.99,US,2022-02-02 17:27:14
180,Chekhov,55.1431,37.4711,24.75,98,99,5.03,RU,2022-02-02 17:27:14
181,Caravelas,-17.7125,-39.2481,83.66,64,84,8.25,BR,2022-02-02 17:28:15
182,Kisangani,0.5167,25.2,77.32,61,100,2.35,CD,2022-02-02 17:28:15
183,Waipawa,-41.4122,175.5153,66.83,72,99,11.92,NZ,2022-02-02 17:28:16
184,Sarny,51.338,26.6019,33.4,98,100,10.33,UA,2022-02-02 17:28:16
185,Port Alfred,-33.5906,26.891,79.32,79,95,8.59,ZA,2022-02-02 17:28:17
186,Dali,25.7,100.1833,37.45,88,19,4.81,CN,2022-02-02 17:28:17
187,Luderitz,-26.6481,15.1594,68.07,79,13,6.02,NA,2022-02-02 17:28:18
188,Jiazi,22.8779,116.067,58.01,90,100,13.87,CN,2022-02-02 17:28:18
189,Vila Do Maio,15.1333,-23.2167,81.39,81,4,20.29,CV,2022-02-02 17:28:19
190,Brzesko,49.9691,20.6061,36.84,93,100,4.0,PL,2022-02-02 17:28:19
191,Barillas,15.8036,-91.3158,77.34,43,0,4.52,GT,2022-02-02 17:28:20
192,Fortuna,40.5982,-124.1573,47.93,69,0,9.22,US,2022-02-02 17:27:22
193,Botwood,49.1499,-55.3482,26.08,60,55,11.12,CA,2022-02-02 17:28:21
194,Hami,42.8,93.45,22.68,31,39,1.48,CN,2022-02-02 17:28:21
195,Port-Gentil,-0.7193,8.7815,78.76,89,75,8.05,GA,2022-02-02 17:28:22
196,Salalah,17.0151,54.0924,77.09,44,0,2.3,OM,2022-02-02 17:24:49
197,Adrar,20.5022,-10.0711,82.96,13,91,17.6,MR,2022-02-02 17:25:02
198,Ixtapa,20.7,-105.2,80.55,27,0,3.67,MX,2022-02-02 17:28:23
199,Meulaboh,4.1363,96.1285,78.51,79,99,3.22,ID,2022-02-02 17:24:08
200,Kruisfontein,-34.0033,24.7314,72.88,91,100,5.23,ZA,2022-02-02 17:28:24
201,Kaitangata,-46.2817,169.8464,59.23,97,100,8.77,NZ,2022-02-02 17:28:24
202,Kuching,1.55,110.3333,79.02,89,20,3.44,MY,2022-02-02 17:28:25
203,Goderich,43.7501,-81.7165,32.32,93,100,10.36,CA,2022-02-02 17:28:25
204,Helong,42.5397,128.9972,4.28,84,18,6.06,CN,2022-02-02 17:28:26
205,Dalvik,65.9702,-18.5286,24.73,81,100,4.79,IS,2022-02-02 17:28:27
206,Suarez,2.954,-76.6964,83.44,70,71,2.24,CO,2022-02-02 17:28:27
207,High Rock,26.6208,-78.2833,75.22,56,18,17.63,BS,2022-02-02 17:28:28
208,Makaha,21.4694,-158.2175,73.65,69,34,4.88,US,2022-02-02 17:28:28
209,Garowe,8.4054,48.4845,77.31,48,15,20.42,SO,2022-02-02 17:28:28
210,Sambava,-14.2667,50.1667,78.87,77,98,6.51,MG,2022-02-02 17:28:29
211,Roald,62.5833,6.1333,34.0,80,75,11.5,NO,2022-02-02 17:28:29
212,East London,-33.0153,27.9116,83.34,78,20,3.44,ZA,2022-02-02 17:24:15
213,Codrington,-38.2667,141.9667,58.5,62,99,12.19,AU,2022-02-02 17:25:36
214,Mount Isa,-20.7333,139.5,80.37,74,100,5.75,AU,2022-02-02 17:25:07
215,Businga,3.3333,20.8833,81.45,31,23,3.15,CD,2022-02-02 17:28:31
216,Yulara,-25.2406,130.9889,66.04,72,100,10.36,AU,2022-02-02 17:28:31
217,Richards Bay,-28.783,32.0377,79.09,77,23,15.88,ZA,2022-02-02 17:28:32
218,Kailua,21.4022,-157.7394,73.74,85,20,4.61,US,2022-02-02 17:28:32
219,Broken Hill,-31.95,141.4333,60.51,51,0,17.27,AU,2022-02-02 17:28:33
220,Mehamn,71.0357,27.8492,23.18,92,40,9.22,NO,2022-02-02 17:28:33
221,Kurumkan,54.3,110.3,-17.68,93,69,4.03,RU,2022-02-02 17:28:34
222,Miyako,39.6367,141.9525,30.06,57,16,4.94,JP,2022-02-02 17:28:34
223,Barisal,22.7019,90.3711,67.24,80,11,3.76,BD,2022-02-02 17:28:35
224,Lashio,22.9333,97.75,46.76,80,0,2.13,MM,2022-02-02 17:29:35
225,Troitskoye,52.9821,84.6757,4.77,98,100,0.65,RU,2022-02-02 17:29:36
226,Constitucion,-35.3333,-72.4167,67.51,64,3,8.23,CL,2022-02-02 17:29:23
227,Botou,38.0667,116.5667,27.84,40,1,3.74,CN,2022-02-02 17:29:37
228,Ihiala,5.8538,6.8603,94.82,23,1,4.32,NG,2022-02-02 17:29:37
229,Chiredzi,-21.05,31.6667,84.96,39,5,3.78,ZW,2022-02-02 17:29:38
230,Rietavas,55.7194,21.9311,23.61,93,77,6.71,LT,2022-02-02 17:29:38
231,Hualmay,-11.0964,-77.6139,76.15,69,3,12.39,PE,2022-02-02 17:27:34
232,Mujiayingzi,42.1167,118.7833,5.41,78,0,5.21,CN,2022-02-02 17:29:39
233,Lodja,-3.4833,23.4333,72.97,85,98,2.1,CD,2022-02-02 17:29:39
234,Boa Vista,2.8197,-60.6733,93.18,36,40,16.11,BR,2022-02-02 17:29:40
235,Tsabong,-26.0217,22.401,85.77,41,88,12.8,BW,2022-02-02 17:29:40
236,Vila,42.0304,-8.1588,53.74,56,4,2.86,PT,2022-02-02 17:29:41
237,Mahebourg,-20.4081,57.7,81.25,94,75,34.52,MU,2022-02-02 17:29:41
238,Lincoln,40.8,-96.667,17.29,52,0,5.99,US,2022-02-02 17:29:35
239,Lebu,-37.6167,-73.65,65.79,74,35,8.72,CL,2022-02-02 17:26:14
240,Qaqortoq,60.7167,-46.0333,7.3,66,2,4.03,GL,2022-02-02 17:29:42
241,Bani Walid,31.7566,13.9942,51.01,65,68,20.33,LY,2022-02-02 17:29:43
242,Russell,32.3502,-85.1999,65.48,61,75,8.05,US,2022-02-02 17:29:43
243,Jinxiang,27.4327,120.6062,46.89,89,100,9.89,CN,2022-02-02 17:29:44
244,Kalmunai,7.4167,81.8167,75.79,73,6,5.03,LK,2022-02-02 17:29:44
245,Makakilo City,21.3469,-158.0858,71.92,82,0,6.91,US,2022-02-02 17:25:33
246,Port Elizabeth,-33.918,25.5701,75.09,100,40,18.41,ZA,2022-02-02 17:29:45
247,Cantagallo,7.376,-73.9196,90.18,46,4,1.68,CO,2022-02-02 17:29:45
248,Aklavik,68.2191,-135.0107,-25.6,75,20,4.61,CA,2022-02-02 17:29:46
249,Devils Lake,48.1128,-98.8651,-13.02,77,20,11.99,US,2022-02-02 17:29:46
250,Turayf,31.6725,38.6637,53.85,43,0,23.02,SA,2022-02-02 17:29:47
251,Gobabis,-22.45,18.9667,66.54,77,99,6.58,NA,2022-02-02 17:29:47
