City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Barillas,GT,77.34,broken clouds,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
192,Fortuna,US,47.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
193,Botwood,CA,26.08,scattered clouds,49.1499,-55.3482,Exploits Hostel
194,Hami,CN,22.68,overcast clouds,42.8,93.45,Laoyutang Resort
195,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
196,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
198,Ixtapa,MX,80.55,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
199,Meulaboh,ID,78.51,light rain,4.1363,96.1285,Kost Pria
200,Kruisfontein,ZA,72.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
201,Kaitangata,NZ,59.23,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
202,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
203,Goderich,CA,32.32,light rain,43.7501,-81.7165,Harmony Inn
204,Helong,CN,4.28,light rain,42.5397,128.9972,Helong Hotel
205,Dalvik,IS,24.73,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
206,Suarez,CO,83.44,clear sky,2.954,-76.6964,Hotel Estrella Dorada
207,High Rock,BS,75.22,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
208,Makaha,US,73.65,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
209,Garowe,SO,77.31,scattered clouds,8.4054,48.4845,Curubo Hotel
210,Sambava,MG,78.87,few clouds,-14.2667,50.1667,Melrose
211,Roald,NO,34.0,clear sky,62.5833,6.1333,Flem Cabins
212,East London,ZA,83.34,broken clouds,-33.0153,27.9116,Tu Casa
213,Codrington,AU,58.5,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
214,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
216,Yulara,AU,66.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
217,Richards Bay,ZA,79.09,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
218,Kailua,US,73.74,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
219,Broken Hill,AU,60.51,light rain,-31.95,141.4333,Royal Exchange Hotel
220,Mehamn,NO,23.18,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
222,Miyako,JP,30.06,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
223,Barisal,BD,67.24,broken clouds,22.7019,90.3711,Hotel Arefin Residential
224,Lashio,MM,46.76,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
226,Constitucion,CL,67.51,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
227,Botou,CN,27.84,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
228,Ihiala,NG,94.82,overcast clouds,5.8538,6.8603,Tony King Suites Limited
229,Chiredzi,ZW,84.96,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
230,Rietavas,LT,23.61,scattered clouds,55.7194,21.9311,Andrijauskų sodyba
231,Hualmay,PE,76.15,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
232,Mujiayingzi,CN,5.41,broken clouds,42.1167,118.7833,Jinjiang Hotel
234,Boa Vista,BR,93.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
235,Tsabong,BW,85.77,few clouds,-26.0217,22.401,Springbok Motel
236,Vila,PT,53.74,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
237,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
238,Lincoln,US,17.29,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
239,Lebu,CL,65.79,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
240,Qaqortoq,GL,7.3,clear sky,60.7167,-46.0333,Siniffik Inn
241,Bani Walid,LY,51.01,light rain,31.7566,13.9942,منزل مفتاح محمد الزلبي
242,Russell,US,65.48,light rain,32.3502,-85.1999,Macs
243,Jinxiang,CN,46.89,broken clouds,27.4327,120.6062,Wolong Village
244,Kalmunai,LK,75.79,few clouds,7.4167,81.8167,VS Villa
245,Makakilo City,US,71.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
246,Port Elizabeth,ZA,75.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
247,Cantagallo,CO,90.18,broken clouds,7.376,-73.9196,Apartahotel Altamira
250,Turayf,SA,53.85,few clouds,31.6725,38.6637,Turaif
252,Usinsk,RU,15.57,scattered clouds,65.9939,57.5281,Dobro Pozhalovaty
253,Nishihara,JP,69.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
254,Leshukonskoye,RU,11.73,clear sky,64.8989,45.7622,Pryalitsa Hostel
255,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Atkarsk,RU,34.34,clear sky,51.8718,45.0078,Hotel Kareta
257,Shangrao,CN,34.93,scattered clouds,28.4532,117.9686,Boyue boutique Hotel
258,Paptalaya,HN,82.44,scattered clouds,15.5,-84.3167,Hospedaje Ingnika
